iter	Passed	Remaining
649	7976	5509
650	7980	5491
651	7989	5477
652	7997	5462
653	8006	5447
654	8018	5435
655	8027	5421
656	8032	5404
657	8042	5390
658	8053	5376
659	8061	5362
660	8068	5346
661	8076	5331
662	8084	5316
663	8094	5302
664	8103	5288
665	8110	5273
666	8119	5259
667	8130	5245
668	8140	5232
669	8150	5218
670	8158	5203
671	8168	5190
672	8176	5175
673	8187	5162
674	8199	5150
675	8208	5136
676	8217	5122
677	8227	5108
678	8239	5096
679	8248	5082
680	8257	5068
681	8262	5052
682	8271	5037
683	8281	5024
684	8290	5010
685	8296	4994
686	8306	4981
687	8317	4968
688	8328	4956
689	8337	4941
690	8346	4928
691	8350	4911
692	8359	4897
693	8366	4882
694	8375	4868
695	8383	4854
696	8393	4841
697	8401	4826
698	8410	4812
699	8419	4799
700	8428	4785
701	8437	4771
702	8441	4755
703	8452	4742
704	8460	4728
705	8468	4714
706	8479	4701
707	8489	4688
708	8499	4675
709	8508	4661
710	8518	4648
711	8527	4635
712	8537	4622
713	8547	4608
714	8557	4596
715	8568	4583
716	8577	4569
717	8585	4555
718	8593	4541
719	8601	4527
720	8610	4514
721	8613	4497
722	8621	4483
723	8630	4470
724	8639	4456
725	8649	4443
726	8660	4431
727	8668	4417
728	8676	4403
729	8688	4391
730	8691	4375
731	8700	4361
732	8707	4347
733	8718	4335
734	8723	4320
735	8734	4307
736	8744	4294
737	8754	4282
738	8764	4269
739	8774	4256
740	8783	4243
741	8793	4230
742	8803	4218
743	8814	4205
744	8824	4193
745	8834	4180
746	8842	4166
747	8852	4154
748	8862	4141
749	8869	4127
750	8879	4114
751	8888	4101
752	8898	4088
753	8906	4075
754	8914	4061
755	8926	4049
756	8935	4036
757	8944	4023
758	8954	4011
759	8961	3997
760	8969	3983
761	8979	3971
762	8992	3959
763	9002	3947
764	9011	3934
765	9033	3927
766	9054	3919
767	9068	3908
768	9081	3897
769	9093	3885
770	9104	3873
771	9114	3860
772	9125	3848
773	9136	3836
774	9148	3824
775	9160	3812
776	9171	3800
777	9182	3788
778	9193	3776
779	9201	3763
780	9213	3751
781	9225	3739
782	9237	3728
783	9242	3713
784	9251	3700
785	9260	3687
786	9264	3672
787	9273	3660
788	9284	3647
789	9292	3634
790	9302	3622
791	9313	3610
792	9325	3598
793	9335	3586
794	9346	3573
795	9359	3562
796	9370	3550
797	9384	3539
798	9394	3527
799	9405	3515
800	9420	3504
801	9429	3491
802	9442	3480
803	9449	3467
804	9457	3454
805	9466	3441
806	9474	3428
807	9478	3413
808	9487	3400
809	9497	3388
810	9507	3376
